Index,Topic,Click,Duration,MediaType,What,SentTo,Received,Up_Down,Branch,level
1,1,1,3,1,3,1,0,1,1,1
2,1,2,2,1,2,0,0,1,1,2
3,1,1,1,1,3,2,1,1,1,3
4,1,3,1,1,4,0,0,1,1,4
5,1,1,2,1,6,1,0,1,1,5
6,10,1,2,2,3,0,0,2,2,1
7,10,3,1,1,6,0,0,2,2,2
8,10,3,1,1,6,0,3,2,2,3
9,10,2,2,1,6,0,3,2,2,4
10,10,1,2,4,2,0,0,2,2,5
11,10,1,1,1,2,2,0,2,2,6
12,10,3,1,1,1,0,0,2,2,7
13,3,1,3,2,4,1,0,1,3,1
14,3,1,2,1,4,0,0,1,3,2
15,3,2,1,1,6,2,1,1,3,3
16,14,3,1,1,1,0,0,2,4,1
17,14,3,1,1,4,0,0,2,4,2
19,14,2,2,1,4,0,0,2,4,3
20,12,1,2,1,1,2,0,2,5,1
21,12,1,1,1,1,2,0,2,5,2
22,12,1,3,1,1,2,0,2,5,3
23,12,1,2,1,1,2,0,2,5,4
24,12,2,2,1,2,0,0,2,5,5
25,12,3,2,1,2,0,0,2,5,6
26,4,1,1,1,6,2,0,1,6,1
27,4,1,1,1,6,2,0,1,6,2
28,4,2,1,1,1,0,0,1,6,3
29,4,3,1,1,1,0,0,1,6,4
30,4,3,1,1,6,0,0,1,6,5
31,5,1,2,1,6,0,0,1,7,1
32,5,1,2,1,5,0,0,1,7,2
33,5,1,3,2,4,0,0,1,7,3
34,5,2,3,2,4,0,0,1,7,4
35,5,1,1,1,4,1,0,1,7,5
36,5,1,3,1,4,1,0,1,7,6
37,5,2,1,1,6,0,0,1,7,7
38,8,1,4,3,3,3,2,2,8,1
39,8,2,2,4,2,0,0,2,8,2
40,8,1,4,2,3,0,0,2,8,3
41,8,2,2,1,2,0,0,2,8,4
42,8,1,2,1,2,0,0,2,8,5
43,2,2,2,1,1,0,0,1,9,1
44,2,1,4,2,4,0,0,1,9,2
45,2,2,1,1,1,0,0,1,9,3
46,2,2,1,1,1,0,0,1,9,4
47,13,2,2,1,5,0,1,2,10,1
48,13,2,2,1,5,0,1,2,10,2
49,6,3,2,2,4,0,0,1,11,1
50,6,1,2,2,4,0,0,1,11,2
51,9,3,1,1,6,0,0,2,12,1
52,9,2,3,1,4,0,0,2,12,2
53,9,2,2,1,6,0,0,2,12,3
54,7,2,3,2,4,0,0,1,13,1
55,7,3,1,2,4,0,0,1,13,2
56,7,3,1,2,4,0,0,1,13,3